round_epochs,loss,custom_mae,val_loss,val_custom_mae,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,label_type,loss_function,lr,monitor_value,optimizer,reduction_metric,samples
1,3799.5094479980467,39.04887,2938.1040302734373,31.90724,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3710.9920034179686,38.433426,3080.801419921875,32.61966,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3807.3086424560547,38.668716,2886.1211962890625,30.901876,leakyrelu,32,0.25,1,1024,0,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3966.9971704101563,40.75506,2944.079005859375,32.05215,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,3924.475648925781,40.54535,2620.767330078125,29.609596,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4635.303420410156,43.218494,3196.0329052734373,35.278194,leakyrelu,32,0.25,1,1024,1,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4160.625566162109,42.712154,2823.3649921875,31.480911,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4068.6357814941407,42.029858,2654.111267578125,30.800411,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4596.222162597656,45.183388,2718.95602734375,32.06067,leakyrelu,32,0.25,1,1024,2,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4485.549692626953,45.391212,2726.155794921875,31.50134,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4634.764895263672,46.676754,2856.3122724609375,33.732937,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,5068.145516113282,49.45757,3178.33839453125,36.060616,leakyrelu,32,0.25,1,1024,3,Angular,mean_squared_error,5,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4949.5046162109375,49.264606,2945.386072265625,34.053196,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,1,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
1,4963.086078125,49.104515,3138.656775390625,35.786514,leakyrelu,32,0.25,1,1024,4,Angular,mean_squared_error,2,val_custom_mae,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,custom_mae,20000
